Symbol,base_currency,quote_currency,quote_increment,base_increment,display_name,min_market_funds,margin_enabled,post_only,limit_only,cancel_only,status,status_message,trading_disabled,fx_stablecoin,max_slippage_percentage,auction_mode
CHZ-EUR,CHZ,EUR,0.0001,0.1,CHZ/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
CHZ-GBP,CHZ,GBP,0.0001,0.1,CHZ/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
CHZ-USD,CHZ,USD,0.0001,0.1,CHZ/USD,1,False,False,False,False,online,,False,False,0.03000000,False
CHZ-USDT,CHZ,USDT,0.0001,0.1,CHZ/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
CLV-EUR,CLV,EUR,0.00001,0.01,CLV/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
CLV-GBP,CLV,GBP,0.0001,0.01,CLV/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
CLV-USD,CLV,USD,0.0001,0.01,CLV/USD,1,False,False,False,False,online,,False,False,0.03000000,False
CLV-USDT,CLV,USDT,0.0001,0.01,CLV/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
COMP-BTC,COMP,BTC,0.000001,0.001,COMP/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
COMP-USD,COMP,USD,0.01,0.001,COMP/USD,1,False,False,False,False,online,,False,False,0.03000000,False
COTI-USD,COTI,USD,0.0001,0.1,COTI/USD,1,False,False,False,False,online,,False,False,0.03000000,False
COVAL-USD,COVAL,USD,0.00001,1,COVAL/USD,1,False,False,False,False,online,,False,False,0.03000000,False
COVAL-USDT,COVAL,USDT,0.00001,1,COVAL/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
CRO-EUR,CRO,EUR,0.0001,0.1,CRO/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
CRO-USD,CRO,USD,0.0001,0.1,CRO/USD,1,False,False,False,False,online,,False,False,0.03000000,False
CRO-USDT,CRO,USDT,0.0001,0.1,CRO/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
CRPT-USD,CRPT,USD,0.0001,0.1,CRPT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
CRV-BTC,CRV,BTC,0.0000001,0.01,CRV/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
CRV-EUR,CRV,EUR,0.0001,0.01,CRV/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
CRV-GBP,CRV,GBP,0.0001,0.01,CRV/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
CRV-USD,CRV,USD,0.0001,0.01,CRV/USD,1,False,False,False,False,online,,False,False,0.03000000,False
CTSI-BTC,CTSI,BTC,0.0000001,0.1,CTSI/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
CTSI-USD,CTSI,USD,0.0001,0.1,CTSI/USD,1,False,False,False,False,online,,False,False,0.03000000,False
CTX-EUR,CTX,EUR,0.01,0.001,CTX/EUR,1,False,False,True,False,online,,False,False,0.03000000,False
CTX-USD,CTX,USD,0.01,0.001,CTX/USD,5,False,False,False,False,online,,False,False,0.03000000,False
CTX-USDT,CTX,USDT,0.01,0.001,CTX/USDT,5,False,False,True,False,online,,False,False,0.03000000,False
CVC-USD,CVC,USD,0.0001,0.1,CVC/USD,1,False,False,False,False,online,,False,False,0.03000000,False
CVC-USDC,CVC,USDC,0.000001,1,CVC/USDC,1,False,False,False,False,delisted,,True,False,0.03000000,False
DAI-USD,DAI,USD,0.0001,0.00001,DAI/USD,1,False,False,False,False,online,,False,True,0.01000000,False
DAI-USDC,DAI,USDC,0.0001,0.00001,DAI/USDC,1,False,False,False,False,delisted,,True,True,0.01000000,False
DAR-USD,DAR,USD,0.001,0.01,DAR/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DASH-BTC,DASH,BTC,0.000001,0.001,DASH/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
DASH-USD,DASH,USD,0.01,0.001,DASH/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DDX-EUR,DDX,EUR,0.01,0.01,DDX/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
DDX-USD,DDX,USD,0.01,0.01,DDX/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DDX-USDT,DDX,USDT,0.001,0.01,DDX/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
DESO-EUR,DESO,EUR,0.01,0.001,DESO/EUR,1,False,False,True,False,online,,False,False,0.03000000,False
DESO-USD,DESO,USD,0.01,0.001,DESO/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DESO-USDT,DESO,USDT,0.01,0.001,DESO/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
DEXT-USD,DEXT,USD,0.0001,0.1,DEXT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DEXT-USDT,DEXT,USDT,0.0001,0.1,DEXT/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
DIA-EUR,DIA,EUR,0.00001,0.01,DIA/EUR,1,False,False,True,False,online,,False,False,0.03000000,False
DIA-USD,DIA,USD,0.00001,0.01,DIA/USD,1,False,False,False,False,online,,False,False,0.03000000,False
